CLAIMNO,DESCRIPTIONACCIDENT,label,,,,,
MOT11965634,Khalilabad,2,,,,,
MOT11965784,one two wheeler could not control and dashed the right side of hector.,2,,,,,
MOT11965780,AS PER CLAIM FOAM,2,,,,,
MOT11964068,another vehicle hit front side and fil down right side,1,,,,,
MOT11963894,Aage wale vehicle ne achank break use kiye or meri gaadi control nhi hui es vajh se usmein lag gyi,1,,,,,
MOT11964002,DAMEGE,2,,,,,
ECF2182852814e4c,WHILE TAKING FORWARD FROM THE CAR PORCH THE FRONT AND RIGHT SIDE OF THE VEHICLE HITTED ON A BOUNDARY WALL,0,,,,,
MOT11963906,Road crossing k dawran auto wale ne shamne se dhaka mara jishke karan meri gadi bayen taraf gir gai,1,,,,,
MOT11964112,DAMAGED,2,,,,,
MOT11963709,Gadi lay ne jta tyre road ni side mathi achank bhind athdata aagar na bhag ma nukshan thyel,2,,,,,
MOT11964136,Our vehicle had collided with a dog on highway road. At the same time another animal dashed on right side portion of our vehicle causing damages.,2,,,,,
MOT11946989,Dog hit from front side,0,,,,,
ECF2338236014f0c,Suddenly A Bike hit my car Back side,1,,,,,
MOT11963657,DAMEGE,2,,,,,
ECF22155443947ae,WHILE DRIVING ONE STONE DASH ON MY CAR FRONT GLASS I TOOK RIGHT AND BRUSHED MY CAR FRONT RIGHT SIDE VEHICLE,1,,,,,
MOT11963756,Hit a low boundary wall during reverse,0,,,,,
MOT11965207,Dusre vahan ne peeche se takkar maar de,1,,,,,
MOT11964563,A GOOD VEHICLE HIT AT LEFT BACK SIDE OF MY CAR WHILE I TOOK A TURN SLOWING DOWN A CYCLE OVERVING FACING TO MYE AT A THORP TURING .THE GOOD VEHICLE AT THE TURNING ROULD NOT CONTROL HIM SELF AND BADLY HIT ME ROUNDING SEVERE DAMAGE,1,,,,,
MOT11964833,a lady driver with venue car entered from left on main road and hit my vehicle at left side. she didnt look at both sided of road before entering on main road my vehicle got damage from left side,1,,,,,
MOT11964642,HIT WITH TRUCK,2,,,,,
MOT11963974,Happend near irla while taking a U turn from Amar Juice centre the barricade of the metro I laid out so the back wheel got hit by it & instantly brust,0,,,,,
ECF23166375249e4,Near police check post,2,,,,,
ECF2186828774d81,MERE SAALE KA LDKA APNE NIJI KAAM SE GHAR SE SIKANDRABAAD JA RHE THE TABHI ACHANAK SAMNE SE EK BIKE WALE NE TAKKAR MAAR DI JISSE BIKE ASHUNTILIT HOKAR PULIA SE LADKAR CHATIGRAST HO GAI,1,,,,,
MOT11965082,AS PER CLAIM FORM,2,,,,,
ECF19846917140d8,As per claim form,2,,,,,
MOT11965223,CHALAK JAA RHA THA SAMNE SE CAR WALE NE TAKKAR MAR DIAY HAI,2,,,,,
MOT11965792,Left side se Scooty wale ne Takkar mari aur gadi Right side Gir gayi,1,,,,,
MOT11960313,VECHICLE DAMAGED,2,,,,,
MOT11965793,WHILE TRAVELLING FROM NERUL TO AMBERNATH I AM OVERTAKE ON ROAD TO ONE TRUCK HEAVY VEHICLE ACCIDENT WITH SIDE DIVIDER FRONT BUMPER DAMAGE IS THERE WITH DIVIDER ON RIGHT SIDE,1,,,,,
MOT11965830,STUCK DIRECTLY IN DIVIDER TO SAVE A HUMAN BEING.,2,,,,,
MOT11965799,FROM R.H SIDE A TEMPO WAS DASH WITH MY CAR AND I TAKE L.H SIDE BUT MY CAR GOT DASH WITH A TEMPO WHICH WAS PARKED ON ROAD L.H SIDE AND SAME TIME DUE TO SUDDEN BRAKE FROM REAR L.H SIDE ANOTHER VEHICLE WAS ALSO DAMAGED MY CAR.,1,,,,,
MOT11964534,Moanky was to jump Tobe hood was to dhamj,2,,,,,
MOT11965434,As par claim from,2,,,,,
MOT11964177,AS PER FORM,2,,,,,
MOT11965685,HIT A ROAD HOLE,2,,,,,
MOT11964003,KEY LOSS,2,,,,,
MOT11964421,Vishal mega mart ke pass ek pulsar vale se takkar maar di gaadi disbalance ho kr gir gai,1,,,,,
MOT11959581,Front left side hit bike and fell down vehicle left side,1,,,,,
MOT11964007,As per claim for.,2,,,,,
ECF2198751874eb1,Ahemedabad,2,,,,,
MOT11964120,As per estimate,2,,,,,
MOT11963663,DAMEGE,2,,,,,
MOT11965227,THE CAR WAS BEING TRAVELLING TOWARDS NERUL VIA URAN PHATA AFTER THE TURNING REAR RR PATH UDYAN ONE CAR MOVING AHED SUDDENLY APPLIED BRAKES AND I ALSO APPLIED BRAKES INSTANTLY ALTHOUGH THERE WAS NO COLLISIUM IN THE CAR MOVING AHEAD THE CAR AT THE REAR COULD NOT CONTROL & MY CAR DAMAGING THE BOOT AND THE BUMPER AT THE SAME TIME A RICKSHAW ON THE FRONT SIDE BRUSHED FROM FRONT SIDE,2,,,,,
MOT11964838,damaged,2,,,,,
MOT11965209,Karmauta se sikandarpur jate samay karmauta ke pass brekar ke pass jab hamne break mara tabhi ak tempu wale ne hamari gadi ko pichhe se takar mar diya or hamari gadi chhattisgarh ho gai,1,,,,,
MOT11965276,suddenly the car hit on the back,2,,,,,
MOT11964325,HIT WITH A OBJECTSON LEFT SIDE OF THE CAR,2,,,,,
MOT11965215,NADIAD THI MEHEMDABAD AAVATA ROAD ANE DIVAYDER NU KAM CHALU HOVATHI CIMENT.RATI.CAPCHI ROAD UPER HOVATHI ACTIVA SLIP MARI NE DIVAYDER MA ATHADAYU.,1,,,,,
MOT11965282,While driving my activa suddenly my activa's accelerator increased and my activa got crashed into a poll and got damaged,0,,,,,
MOT11965237,A FLYING STONE HIT OUR CAR FRONT WINDSHEALD OR GLASS GOT DAMAGED,2,,,,,
MOT11964911,A car heat from rear side n vechiel slepped on rhs side,1,,,,,
MOT11964915,Samne se bike ne takkar maar diya or gadi left side gir gaya,1,,,,,
ECF21931375442d9,Mate chowk madhe traffic astana magun commercial taxi ni dash maarli. Tya mule car chi back side damage zali,2,,,,,
MOT11965723,A UKNOWN VEHICLE HIT FROM FRONT SIDE,1,,,,,
MOT11952337,As per claim form,1,,,,,
MOT11965074,60 NI SPEED PAR GADI JATI HATI ACHANAK ROJADU ADU UTARTA GADI NO CONTROAL NA RETA GADI ROAD NICHE UTARI GAY,1,,,,,
MOT11965447,???? ??? ???? ?????? ?? ???? ??? ?? ??? ?? ??? ?? ???? ??? ??? ?? ??? ????? ???? ?? ? ??? ??? ?? ??? ??? ?? ?? ???? ???? ???? ??? ??,2,,,,,
MOT11964705,While parking unfortunately gave sudden acceleration hitted my vehicle in to pillar hence my vehicle left side damaged,0,,,,,
MOT11965040,Daimeg from front side from animal,2,,,,,
MOT11959796,VECHICLE DAMAGED,2,,,,,
MOT11965598,Khalilabad,2,,,,,
MOT11965852,Samne se bike aa rahi thi or achhanak se meri gari ki takar hui jis karan meri gari ki chhati garast huaa,1,,,,,
ECF220076343465f,Insured vehicle was hit against a car and fall down to left side,1,,,,,
MOT11964201,As per claimform,2,,,,,
MOT11964205,On a narrow road the oncoming vehicle hit onto my car thus damaging the right side of the car,1,,,,,
ECF21021097340fc,While waiting for the signal behind maruti car was hitten my car back side,1,,,,,
MOT11963655,DAMEGE,2,,,,,
MOT11964166,bike wala e left rear side takkar marta left side padi jata nukasan thayelchhe,1,,,,,
MOT11964146,Auto was hit by my vehicle,1,,,,,
MOT11964097,As per estimate,2,,,,,
MOT11964245,Hit on a wall and fell down while giving side to a car,1,,,,,
ECF2194992934489,My husband was driving suddenly one two Wheller passed from near side and madd a cut. He got disbalanced due to that and fall on road.,1,,,,,
MOT11964135,As per claim form,2,,,,,
MOT11965304,Our vehicle had collided on back portion of front going truck which applied sudden brake.,1,,,,,
MOT11965307,SAMNE SE BIKE WALE NE AKKAR MAAR DIYA JISASE GAADI GIR K CHATIGRASTH HO GAYI,1,,,,,
MOT11964012,AS PER CLAIM FORM,2,,,,,
MOT11965143,Kansari,2,,,,,
ECF2309921584c10,Agad ni gadi brake karata pa6ad atahadata gadi ma nukasan thayu 6e,2,,,,,
MOT11964160,Suddenly bike come front side and i put brake another car hit from back side and bike hit from front side,1,,,,,
MOT11965233,Motercycle ek caar se takraker damage ho gai,2,,,,,
MOT11963296,TWO WHEELER RIDER COMING FROM FRONT SIDE WHIL;E OVER TAKING HE DASHED ON MY CAR,1,,,,,
ECF172845577477e,Left side one biker hit our car to pass away and save the car no moved right side and again Hitted my car another car.,1,,,,,
MOT11965126,ANK THI VAGRAJATA DEKOR SHOWRROM NE SAMI CHOTA HATHI TAEMP WALO AACHNAK BRKE MARTA MARI GADI ANE PACHAL MARI GAD LAGI JATA MARI GADI MA AAGE NA BHAGE DAMAGES THYO CHE,1,,,,,
MOT11963841,As par claim form,2,,,,,
MOT11964721,Road ni side ma gadi ubhi hati be bhund jagadata aavi ne gadi ma athadaya aagad ni baju ae nuksan thayel che,1,,,,,
MOT11962956,Salf,2,,,,,
ECF2358510124c2b,Accelarator was increased when bike started after 3 starter and gone under dranage.,0,,,,,
MOT11938192,AS PER CLAIM FORM,2,,,,,
MOT11965849,me ja rha tha or achanak samne ja rhe tempo ne brake lagaya to meri gaadi usse takra gai.,1,,,,,
MOT11963903,Dog dashed by insurance vehicle,1,,,,,
MOT11965407,A Auto hit front side,1,,,,,
MOT11965866,Am going to Honda big wing showroom on the way a two wheeler vehicle guyhited nd moved from back door to front feeder with bike handle,1,,,,,
MOT11965906,truck dash from back side,2,,,,,
MOT11965210,Santi rode mein aage chal rahe gaadi ne achanak gaadi ko mode diya jiske karan gaadi se takra kar gir gaye,1,,,,,
MOT11964256,bhiwadi to gailpur jate time gadi gailpur me khadi thi aage pikup khadi thi usne back karte time gadi ko hit kar diya,1,,,,,
ECF226826067416a,While driving the car one truck come and dashed my car from the front right side,1,,,,,
MOT11964075,Got hit by auto rickshaw from left side but got hit from front by anather car Back side,1,,,,,
MOT11964250,Front left side,2,,,,,
ECF2366213634204,A RUNNING DOG COLLIDED FROM FRONT SIDE OF THE CAR AMD THE CAR HAS BEEN DAMAGED,2,,,,,
MOT11964070,M0ERE CHACHERE BHAI MERI GADI LE GAYE THE JO KI WAH BALLIA SE GAINI JA RHE THE TABHI GAINI SE 10 KADAM PICHE ROAD PAR ACHANAK EK AWARA BIJAAR AA GAYA OR USE BACHANE K KARAN SAMNE S AA RAHI MOTORCYCLE S MERI GADI TAKRA GAYI OR SIDHE HATH PAR GIR GAYI JISSE MERI GADI MEI TOOT FOOT HO GAYI....,0,,,,,
MOT11963656,DAMEGE,2,,,,,
MOT11964063,As per estimate,2,,,,,
MOT11963888,RASTA PAR JATA ACHANAK KHADO AAVTA BELENCE JATA WRONG SIDE JATA SAME THI BIKE VADO AAVTA ATHDATA LEFT SIDE PADTA NUKSAAN THAYEL CHE,1,,,,,
MOT11964336,foregoing vehicle suddenly stopped so car dashed to it,1,,,,,
MOT11963891,Jumped over big bumper,2,,,,,
MOT11838984,HIT WITH ANOTHER VEHICLE,2,,,,,
ECF22525154845df,?????? ???? ??? ?? ??? ?????? ???? ???????? ?? ??????????? ???? ???? ???? ????? ???? ??? ???? ????? ????????? ???????? ?????,2,,,,,
MOT11965352,"DUE TO SUDDEN BRAKES OF CAR MOVING AHEAD ,CAR WAS DAMAGED FROM FRONT SIDE AS IT HITS THE FRONT VEHICLE AND AT THE SAME TIME REAR COMING VEHICLE BANGED THE FROM BACK SIDE.SO CAR WAS DAMAGED FROM BOTH SIDE",1,,,,,
MOT11964988,Gurgaon to Dharuhera i was traval to my home and when i reached dharuhera flyover a truck braked suddenly on my car got crashed into tha truck then the truck went away without stoping. When the impact happened my windshild also got cracked become of the crash was stone and the truck was carrying little stone the windshield cracked,1,,,,,
MOT11965298,Samne se bike wale ne takkar Mar di aur meri bike left side Gir gai,1,,,,,
MOT11963860,As par claim form,2,,,,,
MOT11964760,gadi lai jata tyre achanak kutru aadu padta gadi unbelence thay diveder par chadi jata gadi ma nukshan thayel che front side,1,,,,,
ECF23165446349b1,While going to valsad from dharampur road suddenly no of running pigs came in front of my car and ditectly hit from front and left side of car and damage,1,,,,,
MOT11964901,GADI LAY NE JATA HATA TYARE TRAFIK MA SONI BAZAR MA SAKLI GALI MA TRAN MARTA SIDE MA NANI DIVAL SATHE ADI JATA MARI GADI MA DABI BAJU NUKASAN THAYEL CHE,1,,,,,
MOT11963887,HIT WITH RIXA AND FALL DOWN,2,,,,,
MOT11875477,Bangalore,2,,,,,
MOT11946058,LOSS REAR SIDE,2,,,,,
MOT11891536,the other vehicle crash the vehicle from the behind,1,,,,,
MOT11891623,VEHICLE DAMAGED,2,,,,,
MOT11938965,Gadi lay ne jata hata tyare valank ma division hatu tya athday jata gadi ma nuksan thayel chhe.,1,,,,,
MOT11893047,CX VEHICLE WAS HITTEN BY ANOTHER VEHICLE,1,,,,,
MOT11957445,LOSS THE VEHICLE,2,,,,,
MOT11899401,ROCK IN COME VEHICLE TAKE LEFT AND DAMGE,1,,,,,
MOT11871233,VEHICEL DA AMGED,2,,,,,
MOT11956482,ACCIDENTAL DAMAGES,2,,,,,
MOT11964207,KAL RAAT MAI APNE GHAR AMBALA SE NOIDA ARAHA THA ACHANAK SE EK NIN GAYE MERI GADI SE TAKRA GAYE JIS SE MERI GADI LEFT FRONT SE DAMAGE HO GAYE.,1,,,,,
MOT11964330,as per claim form,2,,,,,
MOT11962952,Accident due to container coming back while starting,1,,,,,
MOT11964046,As per estimate,2,,,,,
MOT11959050,Rear Left side and Right Side Damage,2,,,,,
MOT11964340,Damege,2,,,,,
MOT11964309,??? ??? ?????? ?? ?? ?????? ?? ??? ?? ??? ?? ????? ????? ??? ?? ???? ???? ?? ???? ?? ???? ?? ???? ???? ????? ???? ??? ??,2,,,,,
ECF220443563492f,Toyota Fortuner hit from back,1,,,,,
MOT11964307,As per claim form,2,,,,,
MOT11963662,DAMEGE,2,,,,,
MOT11965385,HIT A AUTO,0,,,,,
MOT11965401,HIT BY AN ECO AND FALL DOWN,1,,,,,
MOT11965140,WHILE DRIVING TRACTOR COMING STRAIGHT FROM OPPOSITE SIDE AND SAME PLACE ROAD WORK WAS IN PROGRESS THAT IS WHY TAKE CAR OFF ROAD AND HIT STONE WITH UNDER BODY ALSO HIT WITH TRACTOR RIGHT SIDE,1,,,,,
MOT11965275,Bike wale ne samane se takkar mar diya,1,,,,,
MOT11965347,Skid on the road,0,,,,,
MOT11965414,CAR WAS MOVING SUDDENLY FLYING STONE CAME AND HIT ON THE FRONT WINDSHIELD GOT DAMAGED,1,,,,,
MOT11949547,KAM SE JA RHA THA SAMNE SE ACHANAK EK CYCLE BALA AGYA OR BIKE SE TAKKERA GYR OR BIKE UNBALANCE HO KER LEFT KO GIR KER FRONT LEFT SE DAMAGE HO GYA,1,,,,,
MOT11965177,As par claim form,2,,,,,
MOT11938419,IT WAS HIT AND DASH WITH SCRATCHED AT LEFT SIDE OF THE CAR.,2,,,,,
MOT11965278,Other Riksha hit to my bike,1,,,,,
MOT11965310,I was at a turning point where a car was making u turn it came slight reverse and crushed my passing car and when i relised and suddenly applied brakes a battery rickshaw banged from behind in my rear bumper.,1,,,,,
MOT11905453,THERE WAS CONSTRUCTION ROAD DUE TO WCXHIH VEHICLE GOT SLIPPED,1,,,,,
MOT11907469,DAMAG OF FRONT +BACK ALL SIDE NAD LITTLE BIT INERNAL PROBLEM 04W INVOVA CRYSTA HITT FROM BACK,2,,,,,
MOT11907681,VEHICLE DAMAGED,2,,,,,
MOT11963022,Damage,2,,,,,
MOT11907693,VEHICLE DAMAGED,2,,,,,
MOT11945887,Damaged,2,,,,,
MOT11948801,GOT DAMAGE,2,,,,,
MOT11908225,VEHICLE DAMGED,2,,,,,
MOT11949370,AS PER CLAIM FORM,2,,,,,
MOT11960467,a vehicle hit my car,1,,,,,
MOT11914916,VEHICLE DAMAGED,2,,,,,
MOT11918002,an two wheeler came from opposite and hit cx vehicle,1,,,,,
MOT11937930,LOSS UNDER SIDE,2,,,,,
ECF234608402407d,"While parking the car in the parking car, the car was taken on reverse gear. In order to save the rear side of the car from the building column, it hit sitting area constructed around a tree and thereby the fron right portion was damaged. In order to minimise the damage, the left portion is also damaged.",0,,,,,
MOT11964345,Bike slipped in mud and i lose control then it crashed into divider and i fainted rest I don?t remember,0,,,,,
MOT11963969,DAMEGE,2,,,,,
MOT11964384,"MERA MAMERA BHAI GADI CHALA RAHA THA,TABHI ACHANAK EK MOD PER DUSRI BIKE NE ATTACK KAR DIYA JISSE GADI KA FULL FRONT AND FUEL TANK DAMMAGE HO GAYA HAI,",1,,,,,
MOT11964342,AS PER CLAIM FORM,2,,,,,
MOT11964420,REAR DOOR WAS NOT CLOSED HENCE IT SUUDENLY OPENED AND HITTED TO WALL,0,,,,,
MOT11964343,front going champion sudden apply break in front of my car and my vehicle collisgn front side badly and same time another vehile hit from back side also.,1,,,,,
MOT11964404,"A car was coming from wrong side and hit left side of car. And when applied brakes, a car also hit back side of car.",1,,,,,
MOT11963324,"Dumpar stopped using emergency break, my bike hitted to dampar.",2,,,,,
MOT11964111,While ridding the scoty suddenly another vechile hit on rear side I was hit on a Vikram on front side,1,,,,,
MOT11920280,9685748596,2,,,,,
ECF2259571584a7c,"Meri gadi nexa showroom chandrapur me khadi thi, utne me 1 royal Enfield bullet wale ne meri khadi gadi ko aake left side se thok diya, jisme meri gadi ka door fender alloy wheel slash gaurd damage ho gaya",1,,,,,
MOT11965435,BIJI GADI VARO BHTKAT GADI NA NUKSAN THEYAL CHE,1,,,,,
MOT11957630,Vehicle hit the Piller,0,,,,,
MOT11964364,AS PER CLAIM FORM,2,,,,,
MOT11965437,Overtake ke kram me samne wali gaadi ne achanak break mara aur main gaadi lekar samne wali gaadi se takra kar road par gir gaya aur piche se aa rahi motorcycle bhi mujhe bachane ke kram me meri gaadi ke uppar chadh gaya jisse meri gaado chati grast ho gayi,0,,,,,
MOT11963822,Insured vehicle hitted to pillar,0,,,,,
MOT11963945,AAGAD NI BREAK MARTA GADI SLEAP THAI NE DAMAGE THAYEL CHHE,1,,,,,
MOT11965344,LEFT HAND SIDE FULL DAMAGE,2,,,,,
MOT11965416,"we had an medical emergency on tuesday night and we were meat an accident as well. when we were passing the libas pur that time a three wheeler strik on driver side mirror and i took amergency breaks which cause the damage of the fender , right tail light , right mirror and which strick to the back light , as we are in hurry so we moved to hospital . yesterday 28/feb , when my wife got discharge from hospital there i saw many rat are in the car and some ret bite is there in the front and of car",1,,,,,
MOT11800014,9685748596,2,,,,,
MOT11905312,AA,2,,,,,
MOT11918607,LH & RH SIDE DAMAGE,2,,,,,
MOT11904284,DUE TO SUDDEN STOPPED FRONT TEMPO DASHED TO IT SAME TIME ANOTHER VEHICLE BRUSHED LH SIDE,1,,,,,
MOT11924675,RH SIDE DAMAGE,2,,,,,
MOT11932295,OPPOSITE VEICLE HIT,1,,,,,
MOT11926103,VEHICLE DAMAGED,2,,,,,
MOT11962288,Damage,2,,,,,
MOT11927189,VEHICLE DAMAGED,2,,,,,
MOT11928192,VEHICLE DAMAGED,2,,,,,
MOT11870060,ANOTHER VEHICLE HITTED,1,,,,,
MOT11928993,VEHICLE DAMAGED,2,,,,,
MOT11895734,Damaged,2,,,,,
MOT11964127,Samne se aata bike ne activa ko hit kiya,1,,,,,
ECF23644178241d3,Right side damage,2,,,,,
MOT11964494,WHEN I WAS PASSING FROM VALAN GAM AT THAT TIME SUDDENLY IN FRONT OF MY TEMPO APPLIED BRAKE AND BECAUSE OF THAT MY VEHICLE HITTED WITH THAT TEMPO AND REAR SIDE ONE THREE WHEELER TEMPO DASHED MY VEHICLE FROM REAR SIDE SO MY VEHICLE GOT DAMAGED FROM BITH SIDES..,1,,,,,
MOT11964500,Bike wala maar diya,1,,,,,
ECF22925480244e7,while parking the vehicle it was hit by the side well of my house,0,,,,,
MOT11964162,HIT WITH CAR REAR SIDE AND FELL DOWN LEFT SIDE,1,,,,,
ECF2215000714139,As per clime form,2,,,,,
MOT11964114,Rhs side damage,2,,,,,
ECF2249512924064,While driving a dog came in front of another car he stopped in urgent way so our vehicle got smashed from front and as we took a Chance take our back gear it was a barigade in the back side of our car which got touched in slightly way in the back side of car,1,,,,,
MOT11964517,GADI AGAD NA BHAGHE TATHA JAMNI BAJU NA BHAGHE BRTS NI RELLING TATHA TENA DEVIDER SATHE ATHDAVATHI NUKSAN THAYEL CHE,1,,,,,
MOT11964473,I was going towards akshardham &at gazipur there was bulero with goods loadid & it took emergency breack and due to which my car got hit from front left side and there was E-rickshaw behind me who damage my car right side,1,,,,,
MOT11965170,A cart just came in front of me by taking wrong side on the Noida expressway. I had colliding with the cart. Pressing instant breaks was also too risky so I have pressed slow breaks but that was not sufficient and I had colliding with the cart heavily from the front side of my bike and just fallen on my right side with the bike. My bike was damaged a lot from front side and some on tank and handle and so on. I was also injured more than 8-9 spots on my body.,1,,,,,
ECF22074690945dd,Achanak ek pathar Aakar front glass par lgg gya,2,,,,,
ECF23223927548af,,2,,,,,
MOT11962876,VECHICLE DAMAGED,2,,,,,
MOT11965324,PANDARE HUN GAVAT JAAT ASTANA VALNAVARTI KHADI MULE GADI GHASRUN PADLYANE HA APGHAT zala,2,,,,,
MOT11965397,HIT BY BIKE,2,,,,,
MOT11965464,Motercycle ek dusri motercycle se takraker damage ho gai,1,,,,,
MOT11965288,As par claim form,2,,,,,
ECF1745308894ed6,Wrong side se ek canter wale ne saamne se meri gaadi ko hit kar diya,1,,,,,
MOT11965313,BREAK LAGANE SE GADI GIR GAYI,0,,,,,
ECF22280840749b6,Pick up vala hit my xar form right side,1,,,,,
MOT11929363,Basavanapura,2,,,,,
MOT11930089,VEHICLE DAMAGED,2,,,,,
MOT11735318,HIT TP,2,,,,,
MOT11961627,while reversing hitted to stone,0,,,,,
MOT11957837,ANOTHER VEHICLE HIT,1,,,,,
MOT11921129,as per claim form,2,,,,,
MOT11953126,Parasurampur ke pass samne se aa rahi motor cycle wale ne takker maar di jisse meri gari chati grast ho gayi,1,,,,,
MOT11779325,HIT BY OTHER VEHCILE,1,,,,,
MOT11963043,Lost control over bike due to mud.,2,,,,,
MOT11959049,A motor cyclist hit on right side of my car causing damage,1,,,,,
MOT11951392,Rugged by another vehicle on the right stretch,1,,,,,
MOT11964532,HIT A BIKE,2,,,,,
MOT11964437,BY EXTERNAL MEANS.,2,,,,,
MOT11937060,AS PER CLAIM FORM,2,,,,,
ECF2204435634bb0,Toyota Fortuner hit from back,1,,,,,
MOT11964297,Gadi laine jata Dabhi baju gadi vado athadata gadi ma dabi baju nukshan thayu che,1,,,,,
MOT11963658,DAMEGE,2,,,,,
MOT11963677,A COMMERCIAL CAR HIT FROM RIGHT SIDE OF CAR WHILE OVERTAKING,1,,,,,
MOT11963739,RSTAMA GADI SLEEPMARINE DIVAIDAR SATHE BHATKAINE PADI GAYEL CHE,1,,,,,
MOT11964556,"FROM FRONT L.H SIDE A TEMPO WAS APPLIED SUDDEN BRAKE AND MY CAR GOT DASH WITH THAT TEMPO AND SAME TIME DUE TO SUDDEN BRAKE FROM REAR R.H SIDE ANOTHER VEHICLE GOT ALSO DAMAGED MY CAR FROM REAR R.H SIDE,",1,,,,,
ECF224127611429f,RUNING GADI MA AAGL VALA YE ACHANK BREAK MARTA GADI MA NUKASHAN AAVYU CHE,1,,,,,
MOT11964139,GADI CHLATE SAMAY AAGE ACHANAK KUTTA AA GAYA KUTTA GADI KE AAGE TAKARAYA JAISE HI MENE BREAK LAGAYE TO PICHE SE AA RAHI GADI NE TAKKAR MAR DI AND SIDE SE E RIKSHAW VALE NE TAKKAR MAR DI JIISE PICHE KI LIGHT TUTI,1,,,,,
MOT11964501,front portion damaged,2,,,,,
MOT11965187,MOSALI CHOKRI PAR VANKAL RASTA UPAR SIDE PAR BACK SDIE THI EECO WALO TAKAR MARTA HU GADI NE SIDE ME LEVA JATA SIDE MA PATHAR LAGTA MARI GADI MA BACK SIDE ANE RH SIDE NICHE DAMAGES THYO CHE,1,,,,,
ECF2315459674933,,2,,,,,
MOT11965519,GR SE MARKET JATE TM MAHRAJ GANJ K PASS GADI BIKE SE TKRA K RIGHT SIDE GIR GYE,1,,,,,
MOT11965312,AS PER CLAIM FORM,2,,,,,
MOT11965462,Sariyo se loaded E-rickshaw se takkar lagne ki wajah se peeche se damage ho gayi aur scratches aa gaye hai,1,,,,,
MOT11965232,Unknown vehicle hit,2,,,,,
MOT11963849,SUDDNLY MONKEY COME ON ROAD AND VEHICLE SLEAP DOWN,2,,,,,
ECF21726826243af,CORNALGANJ SE BARABANKI AA RHE THE TABHI BABHUA RAILWAY CROSSING KE PAS PICHHE SE EK TRUCK WALE NE PICCHE SE TAKKAR MARTE HUYE CAR KA DAHINE TARF CHHTIGRAST KARATA HUA NIKAL GYA,1,,,,,
ECF9895417946f9,One tempo with the high speed hit the right side of my i10 and damaged right side broken head light and side view mirror.,1,,,,,
MOT11965475,Aage chal rahe auto Wale n Achanak brake lga diye brake lgane se piche se aa rahi gadi ne piche se takkar mar di isme kisi ko koi nuksan nahi hua aur na fir hui,1,,,,,
ECF2357179034e87,Karjan thi dora aavta samaye bhes aavi ne aathdata mari gari ne main glass demege thayel chhe,1,,,,,
MOT11964552,AS PER CLAIM FORM,2,,,,,
MOT11842531,Iv dashed with divider and got damaged.,0,,,,,
MOT11924998,ANOTHER VEHICLE HIT,2,,,,,
MOT11719151,HIT BY OTHER VEHCILE AND SKID,2,,,,,
MOT11918395,AA,2,,,,,
MOT11960295,OPPOSITE VEHICLE HIT,2,,,,,
MOT11864120,VEHCIEL DAMAGED,2,,,,,
MOT11867233,VEHICLE DAMAGED,2,,,,,
MOT11872412,inusred vehicle hit by honda bike from backside and insured vehicle also hit to front vehicle,1,,,,,
MOT11873310,VEHICLE DAMAGED,2,,,,,
