CLAIMNO,DESCRIPTIONACCIDENT,label,,,,,
MOT11945202,FR SIDE DMAAGED,2,,,,,
MOT11873312,VEHICLE DAMAGED,2,,,,,
MOT11873313,VEHICLE DAMAGED,2,,,,,
MOT11947851,ANOTHER VEHICLE HIT,2,,,,,
MOT11964586,Kesarpur road se mera bhanja aa raha tha samne se eco se takkar ho gai,1,,,,,
MOT11963840,Bike wala,2,,,,,
ECF2220703254fdc,A FLYING STONE FROM THE VEHCLE IN FRONT OF CAR COMES & HIT AT FRONT WINDSHIELD,2,,,,,
MOT11963659,DAMEGE,2,,,,,
MOT11964584,FRONT GOING TEMPO SUDDENLY CANGES ITS LANE AND MY CAR TOUCHED IT FROM RIGHT FRONT CORNER AND I APPLIED QUICK BRAKES AFTER THAT HIT WITH AUTO AND AT THE SAME TIME REAR COMING CAR BUMPED MY CAR FROM BACK SIDE,1,,,,,
MOT11964569,AS PER CLAIM FORM,2,,,,,
ECF21962870649af,vehicle impact to another vehicle,2,,,,,
MOT11964071,"A stone felt on my car windshield, it's got damaged",2,,,,,
MOT11962592,AT THE TIME OF TURNING ACTIVA WAS HITTED BY BIKE SUDDENLY,1,,,,,
MOT11964514,ANOTHER TWO WHEELER DASH AND VEHICLE GOT SLEEP,1,,,,,
ECF2290833954805,"On the way to Vasna Hadmatiya temple, a dog suddenly came on the right side and the vehicle going to rescue him took the left side and collided with the electric pole of the side.",1,,,,,
MOT11965514,I WAS TRAVELLING FOR NERUL TO BELAPUR AND MY FRONT VEHICLE SUDDENLY BRAKE AND CAME TO MY CAR SIDE AND I WAS TAKING RIGHT AND DASH TO RIGHT SIDE DIVIDER AND THAT TIME MY BACK SIDE AUTORICKSHAW HIT MY CAR REAR RIGHT SIDE,1,,,,,
MOT11965525,Achanak gadda aayaya use me gadi gir gayi l,2,,,,,
ECF23365266443e2,KHADI GADI MAI BIKE SAWAR NE TAKKAR MAR DI,1,,,,,
ECF2275574834a11,KATIBAGIYA SE MOHAN ROAD PER MUDTE SAMAY SAMNE SE EK TRUCK WALA NE PAHLE APNA TRUCK MODA AUR SEEDHA KAR DIYA JISSE WAH GADI KE DAHINE HISSE PER TAKRAYA GAYA.,1,,,,,
MOT11965546,ASHTA SE SEGAW JATE SAMYE SAMNE ACHANK KUTTA AA GYA JISE BACCHANE ME GADI PATHAR PE CHAD KE SAMNE PILLAR SE TAKRA GYE,1,,,,,
MOT11965144,WHILE I WAS DRIVING SUDDENLY ONE AUTO HIT MY CAR LEFT SIDE GOT DAMAGED,1,,,,,
ECF2191494344abd,Samne se a rahi bike wale takkar maar di,1,,,,,
MOT11965157,PRACHI ROAD PAR ACHANAK JATA TRECTOR MA SUYA JODELA HATA ACHANAK BRAKE MARTA MARI CAR NI BRAKE NA LAGTA TENI SATHE BHATAKATA MARI CAR FRONT SIDE UNDER BDY ANE LH SIDE DAMAGE THAYEL CHHE,1,,,,,
MOT11965544,Vehicle was parked when i came and noticed the front glass was damage,1,,,,,
MOT11965350,HITTED BY SCOOTER,2,,,,,
MOT11965468,I was on way Kushmandi from my house when suddenly I was stopped my bike and side stan of my bike but sleep the side stan then followed my bike and damage Fuel Tank.,1,,,,,
MOT11874356,PER CLAIM FORM,2,,,,,
MOT11874699,AS PER CLAIM FORM,2,,,,,
MOT11877488,VEHCIEL DAMAGED,2,,,,,
MOT11877628,VEHICLE DAMAGED,2,,,,,
MOT11880103,VEHICEL DAMGED,2,,,,,
MOT11884887,WHILE GOING IN CORNER FRONT VEHICLE TOOK SHARP TURN SO SLIPPED AND FELL DOWN HIT PAVMENT,1,,,,,
MOT11889395,VEHICLE DAMAGED,2,,,,,
MOT11892582,customer on the way infant 2 wheeler suddenly taken break and accident happen infant damage,1,,,,,
MOT11873726,VEHICLE DAMAGED,2,,,,,
MOT11958804,Animal hit at front,1,,,,,
MOT11894846,by mistake hit the pole in road,0,,,,,
ECF24056751045a3,While we crossing the road dog came suddenly hit the dog,0,,,,,
MOT11963763,DIU NI ANADAR J RSTRAMA PADEL PATHARNE TARAVAVAV JATA MARI GADI		PADI GAYEL CHE,1,,,,,
ECF2293955094776,HIT BY ANOTHER VEHICLE THAT TAKE REVERSE WHEN MY VEHICLE IS AT STATIONERY AND DAMAGED ON THE FRONT RIGHT SIDE,1,,,,,
MOT11964661,On turning car hit with divider and got damaged on Rh side,1,,,,,
ECF22740825549e8,Vehicle was stopped on right side one two wheeler came and hitted my vehicle on back left side,1,,,,,
MOT11964651,IK DM AUTO WALE NE TAKR MAR DI FRLH RH REAR DAMGES,1,,,,,
ECF2165363174ddb,Gadi chalat hoti traffic madhe truck walyani magun dash dakhakli aani samor racha baffer purn pane nighun gelymude mi tithach temporary basun ghetla ek garage madhun tyacha kadun,1,,,,,
ECF1984691714944,As per claim form,2,,,,,
MOT11963991,While ridding the scoty suddenly another vechile hit on rear side,1,,,,,
MOT11964479,They drive to suddenly road sand scooter sleep on road dividers dash on collapse right side get to damage,1,,,,,
MOT11964619,ek xuv vale ne meri gadi ko over krte hu driver side se hit kr diya or mne jese hi break lgye to pice lh side se auto vale ne hit kr diya,1,,,,,
ECF172256808430a,Front Side And Left Side,2,,,,,
ECF21539853243eb,As per claim form,2,,,,,
MOT11964917,A WAGON R HITS THE CAR ON THE RIGHT SIDE OF THE CAR AND AS I MOVED THE CAR ON THE LEFT SIDE MY CAR HITS AN PASSANGER AUTO,1,,,,,
ECF23160361541d3,Neel Gaye achanak se Nikal aayi Meri gaadi use jaake takes takes gayi,1,,,,,
MOT11946155,"While driving slowly,in front of vehicle applieed sudden break , hit the front vechile ,so vechile got damaged",1,,,,,
MOT11964425,Hit By A Bus,1,,,,,
MOT11964430,my car collided with a loded carrier and hit it from the front side bonnet unlocked and bonnet hit the windshild glass,1,,,,,
MOT11933441,Nirmali,2,,,,,
MOT11964963,WHEN I WAS PARKING MY VEHICLE AT THAT TIME MY VEHICLE HITTED WITH ANOTHER VEHICLE AND GOT DAMAGED FROM FRONT SIDE..,1,,,,,
ECF2364524024a9f,On bhiwandi circle at signal one car dashed my car rear right side .i avoid to major loss due to car took left but unfortunatlly other left side passing vehicle brushed my car left side and ran away.,1,,,,,
MOT11965561,A BUS HIT FROM BACK SIDE AND ACTIVA FELL DOWN TO RIGHT SIDE,1,,,,,
MOT11964753,Left side complit demega,1,,,,,
MOT11964356,Gadi raning hati tyare pachad thi kacharani gadi vado aviyo and mari gadi sathe athdano jethi kari gadi control ma na reta side ma rahel divadar sathe gadi athdani jethi kari gadi ma nuksan thayel cha,1,,,,,
MOT11965108,Bike wale ne samane se takkar mar diya,1,,,,,
ECF2279186034638,WHILE WAS ON THE WAY TO OFFICE A ROYAL ENFILED BIKE TRIED TO OVER TAKE FROM THE LEFT POST LOSING CONTROL HIT MY DOOR FROM THE FRONT THE VEHICLE.,1,,,,,
MOT11964823,HIT WITH A STONE,2,,,,,
MOT11965582,STONE FALLEN FROM FRONT TRUCK ON VEHICLE FRONT SIDE,2,,,,,
ECF217369768436e,Front side,2,,,,,
MOT11965477,I was traveling in chattar pyr main road and in front of me there was a moving truck suddenly he put on the break of truck and i was not able to control that so i also Applied the break but the scooty gets crashed whith the truch and fell on the left side of the devidor,1,,,,,
ECF2282975924da3,I was standing in jam while one auto illegaly entered into wrong side and hit my car,1,,,,,
MOT11965533,CAR WAS MOVING SUDDENLY SOME FLYING STONE HIT ON MY CAR FRONT WINDSHIELD AND GLASS GOT DAMAGED.,1,,,,,
MOT11898001,UNKNOWN VEHCILE HIT,2,,,,,
MOT11906226,RIGHT PORTION DAMAGE,2,,,,,
MOT11903080,while taking revers a boy sitting inside opened the door suddenly hence damaged,0,,,,,
MOT11906379,HIT,2,,,,,
MOT11921722,LH SIDE DAMAGE,2,,,,,
MOT11922207,AS PER CLAIM FORM,2,,,,,
MOT11922962,VEHICLE DAMAGED,2,,,,,
MOT11922427,Stone hit at front,2,,,,,
MOT11590820,Hit,2,,,,,
MOT11756757,Hit to dog,2,,,,,
MOT11647105,DAMAGE,2,,,,,
MOT11964713,"HU BIKE LAINE JATO HATO SEVASI CHECK POST WADA RASTE THI,EK SWIFT CAR WADO SEVASI CANAL ROAD RASTE THI NIKADYO,ANE GOTRI ROAD WADA RASTE TURN LETA ANI GADI OUT ROAD THAI ANE MARI GADI MA RIGHT SIDE ATHADI DIDHI,JETHI MARI GADI MA RIGHT SIDE DAMAGE THAI GAYU.",1,,,,,
MOT11964689,RAN OVER THE VEHICLE ON POTHOLES ON THE ROAD TRAVEL FROM MAHINDRA CITY TO MARIAMALNAGAR,1,,,,,
MOT11964492,RASHTA MA ACCHANAK BUMP AVATA BRECK MARTA GADI SPEED BRACKER MA ATHADATA NUKASHAN THAYEL CHE,1,,,,,
MOT11963771,KHAN NI ANDAR J GADI LAINE JATAHTA TYARE SRTMA MARI AGALNI RIKSHAMAMARI FGADI 			BHATKAINE PADI GAYEL CHE,1,,,,,
MOT11964708,WHEN I WAS PASSING FROM KADODARA TO KAMREJ ROAD AT THAT TIME IN TRAFFIC WHEN I APPLIED BRAKE ON SPEED BRAKER AT THAT TIME REAR SIDE TRUCK DASHED MY VEHICLE FROM REAR SIDE SO MY VEHICLE GOT DAMAGED FROM REAR SIDE..,1,,,,,
MOT11964732,Overtake kr rhi bike ne takkar mari,1,,,,,
MOT11964367,Daimeg from front side from auto,2,,,,,
MOT11963675,A BIKER FELL DOWN ON CAR RIGHT SIDE AND DUE TO IMPACT I WAS COULDNT CONCENTRATE ON FRONT OF ROAD AND CAR MESH WITH DTC FROM FR SIDE,1,,,,,
MOT11964565,SAMNE ACHANAK GADHA AA GYA,1,,,,,
MOT11964696,Samne se dusre vahan ne takkar maar de,1,,,,,
MOT11964837,"A cattle come on the road suddenly, so to save him vehicle goes on the road side, due this cause a tree branch hit on the windshield,so windshield glass breakage.",1,,,,,
MOT11964000,HIT BY A COW AND FALL DOWN,1,,,,,
MOT11958367,As per claim from,2,,,,,
MOT11963855,ROHISATHI UNA AVTAHTA TYARE RSTAMA RAHEL AK KHADAMA MARI GADI PASDAINE 			MARI GADI PADI GAYEL CHE,1,,,,,
MOT11964771,jhunjhunu,2,,,,,
MOT11963235,HIT BY BIKE,1,,,,,
MOT11964992,HIT WITH BULLETCORT,1,,,,,
MOT11964738,"RINGROAD THI JATA HATA, AGAD JATI RIXA VALA A BREAK MARI TO GADI NI BREAK MARTA BALANCE NA RETA GADI PADI GAYEL CHE",1,,,,,
ECF2241630054f9a,Nanded te washim jat astana vasmat javl two wheeler valyane achank samor yeun dhadak dili va tyala vachvnyachya praytnat gadi divaydral dharak dile,1,,,,,
MOT11963810,auto hit the vehicle from front left side and fell down on right side,1,,,,,
MOT11964835,Motorcycle vadae right said thi takkar mari atle agad na tempoma jamni baju thokata nukshan thyel chhe,1,,,,,
MOT11964968,AGE GADDI JA RHI SI US NE ACHANEK BRAKE LAGAI. MAI APNI GADDI NU BRAKE LAGAI TE PICHE TOH AH RHI GADDI MERI GADDI VICH BAJI JIS KAR KE MERI CAR DA NUKSAAN HO GAYA .,1,,,,,
MOT11965577,Our car was waiting to take u turn when a bike approached from the side and got disbalanced and banged into the our car from right side,1,,,,,
MOT11965119,"PEBBLE HIT ON MY WINSHIELD BY TRUCK MOVING IN FRONT OF MY CAR DUE TO UNBALAMCE CAUSED, WAS CROSSED BUMP AHEAD AND CAUSED LOWER SIDE DAMAGE",1,,,,,
ECF2225224764792,Jhanjharpur se chikna jane ke karm mein road par achanak kutta aa gya aur gadi kshtrigast ho gya,1,,,,,
MOT11965476,Accident Left side Bonet of car by Maxx pickup,2,,,,,
MOT11964181,When car was park another vehicle hit due to this damage on right side of car,1,,,,,
MOT11963880,HIT WITH STONE AND DAMAGE,1,,,,,
MOT11964218,AS PER CLAIM FORM,2,,,,,
MOT11965608,Mai company tha tabhi peeche ae bike wale ne takkar mari,1,,,,,
MOT11965551,FRONT DAMAGE,2,,,,,
MOT11965603,Achanak wrong side se ek e rikshow wale takkar mar di or gadi damage ho gai,1,,,,,
ECF222516302485a,As per fir,1,,,,,
MOT11878401,SAMETHI AAVTA VAHAN E MARI GADI NI SIDE PAR TAKKAR MARTA MARTA MARI GADI DABI BAJU PADI GAY HATI,1,,,,,
ECF2251065284d84,,2,,,,,
MOT11963703,GADI LAI JTA TYRE AAGAD A PACHAD TWOOWHEELER VADO ATHDATA GADI MA AAGAD ANE PACHAD NUKSHAN THYEL CHE .JATI RIXA VADA AE OCHINTA BREAK MARTA GADI AAGAD NI SIDE MA TENI SATHE ATHDAT,1,,,,,
MOT11963714,GADI BIKE SAME BHATAKAY NE SLEEP THAY NE PATTHAR UPEAR PADI GAYEL CHE,1,,,,,
MOT11963705,GADI BIKE SAME BHATAKAY NE SLEEP THAY NE PADI GAYEL CHE,1,,,,,
MOT11963710,FATAK PASE ACTIVA VALO BEFIKARAY THI CHALAVI AAVTA GAADI MA RIGHT SIDE REAR BHATKANO TE DARAMIYAN TENATHI BHACHVA LEFT SIDE GAADI LETA MOTA PATHTHAR SATHE LEFT SIDE AGAD NICHE BHATKATA GAADI MA DAMAGE THAYEL CHHE,1,,,,,
MOT11963736,"??? ????? ???? ??? ?????? ?????? ??? ?? ???? ????????? ?????? ??? ????? ???????? ?????? ?????? ?????? ?? ????? ???? ???? ?? ??? ?? ?????? ????? ? ??????? ?????? ????? ?????? ?????? ????? ????, ????? ?? ?????? ???????? ???? ??????? ?????? ????? ?????? ????? ?? ???????? ??????? ?????????? ??? ????",2,,,,,
MOT11963716,KHATARA VALO BIKE VALANE BACHAVA JATA MARI GAADI MA SIDE THI PACHHAD BHATKADTA NUKSAN THAYEL CHHE,1,,,,,
ECF181347828462f,While traveling time a bolero hit from front rhs side and at the same time auto hitted at left side also got damaged,1,,,,,
ECF22915623741b3,WHILE TRAVELLING TIME A DOG HIT ON THE FRONT SIDE OF MY CAR,1,,,,,
MOT11961832,MARI GADI ST ROAD PASETHI GOLAIMA THI NIKLATI VAKHATE EK RIKSHOW VALO MARI GADI SATHE DHASAI NE NIKALTA ME BRECK MARTA MARI GADI NI PAHCAL LEVA JATA EK THAMBHLA SATHE ATHADATA MARI GADI MA NUKSHAN THAYEL CHE.,1,,,,,
MOT11964745,ANOTHER VEHICLE HIT WITH THE INSURED VEHICLE GOT DAMAGE AT REAR RH SIDE,1,,,,,
MOT11935979,Gilaula kipas aksamnisaymotar cikilwalyi ni dokar mar digesaygadiraight saidgirgii farntsaidraightsaiddamjho gyahi,1,,,,,
MOT11964740,Try to save a cow vehicle fell down by the side of the road,1,,,,,
MOT11963788,Slip ho kar geer gaya,0,,,,,
MOT11963244,HIT BY BIKE,1,,,,,
MOT11964802,Mere gadi ke same janwaro ka bund aa gaya jisse tamara ke gadi damage ho gyid,1,,,,,
MOT11964748,Aage chalri gaadi ne achanak break lgae jisse gaadi us gaadi ke peeche takrai,1,,,,,
MOT11964417,rohtak jaate samay raat 9 bje k aaspas samne se aa rhi bike ne takker mari jisse bike gir gayi or nukshan ho gya,1,,,,,
ECF2186596984b9e,While I tookout my car from home that time unfortunately my car right side hit on the wall so got damaged,1,,,,,
ECF23796166544a6,GADI PARKING MA PADI HATI TYARE KOY AAJANYU BAHAN NUKSAN KARI JATU RAHYU 6E,2,,,,,
ECF23484308845d3,While taking reverse vehicle got strucked by pillar,0,,,,,
MOT11963678,"TO AVOID COLLISION WITH BIKE RIDER, CAR STEERED TO RIGHT AND MESH WITH CONCRETE POLE/DIVIDER",1,,,,,
MOT11956148,Mai basali ja reha c raste vich pind balewal de kol mere agge ja rahe gaddi wale ne ik dum break lga ditti jis kar k mai sidha gaddi ch ja vajja,1,,,,,
MOT11964293,A,2,,,,,
MOT11964959,while taking reverse there was a dark due to that could not see one truck behind the car and car dashed to that truck from rear side,0,,,,,
MOT11963872,as per claim form,2,,,,,
MOT11964729,Hit by front side and right side,2,,,,,
MOT11964064,HIT BY A CAR,2,,,,,
MOT11964973,Aaage se rikshaw wale ne touch kr diya hum ne break laage to piche se dusre vahaan ne hit kr diya,1,,,,,
MOT11963800,As per claim form,2,,,,,
MOT11964406,KUTRU ADE PADTA GADI SLIP MARI DIVAIDAR SATHE ATHDAY GAYEE,1,,,,,
MOT11964993,Max pick up ne khadda bachne k liye break lagaye or samne se meri gadi ko takkar mar di,1,,,,,
MOT11965614,Rajapur se karwi ja rahe the achanak gay se gadi takrakar gadi gir gayi,2,,,,,
MOT11964365,Car dashed to cement block and parts were broken at downwards of car.,2,,,,,
MOT11964869,Bhitia se ghar aa rahe the sundarpahari ke pass achanak Ek cow mere gadi ke samne aa gaya aur mera gadi anbailens hokar left side gir gaya jisse mera gadi ka kshatigrast ho gaya,1,,,,,
MOT11965617,Achanak bakri Ka bachha aa Jane ke Karan bachane me gir gaye,1,,,,,
ECF2257719064f17,Lh said,2,,,,,
MOT11901551,8580644836,2,,,,,
MOT11964981,DAUND HUN GAVAT JAAT ASTANA GADI CHA FR BREAK N ? LAGLYANE GADI DIVIDER LA DHADKLYAN E HA APGHAT ZALA,1,,,,,
ECF233610263489d,Main ghar se jamshedpur ja raha tha ki mango ke pas 1 bike wale ne right side se mujhe dhhaka mara jisse main left side gir gaya,1,,,,,
MOT11965438,LOST CONTROL AND FELLED INTO DITCH,0,,,,,
MOT11965624,piche se bike wale ne takker mar di,1,,,,,
MOT11965651,Ek galat side bike wale se takrakar right side gir gai,1,,,,,
MOT11964510,Frt side,2,,,,,
MOT11963746,A car heat from right side,1,,,,,
ECF2299795094d5a,Suddenly a truck came right side so i was take left and left side hit with road side divider so my car left front side and door side got damaged,1,,,,,
MOT11963772,Shooting stone's hit the vehicle and damage it,2,,,,,
MOT11963789,another vehicle hit a front side and fil down divider,1,,,,,
MOT11963808,Mera beta gadi chala kar office ja raha tha thavi raste mein ek auto wale ne piche se Takkar mar Diya aur gadi divider per gir pada,1,,,,,
MOT11963761,Main Apne gadi chala kar kam per ja raha tha thabhi samne se cow aa jane ke Karan gadi divider per gir pada,1,,,,,
MOT11964480,Daimeg from front side from other bike,2,,,,,
MOT11964731,JAMNI BAJU PACHAD BIJA VAHAN SATHE ATHDATA NUKSAN THAYEL CHE,1,,,,,
ECF22341169146f4,the car was parked in the parked lot something dropped on vehicles front glass it got damaged,1,,,,,
MOT11964810,Gaadi lekar ja rahe the achanak piche se ek Scotty wale ne achanak meri gaadi ko thoka aur main unbalance hokar samne ek pole se takea kar dahine taraf culvat par gir gaya jisse meri gaadi chati grast ho gayi,1,,,,,
MOT11963814,ANJARTHI UNA AVTAHAT TAYRA SRTMA GADI SLEEP MARINE PADI,1,,,,,
MOT11944069,Dash by unknown vehicle,1,,,,,
MOT11964751,"while driving the car, our driver heard a loud sound of tyre burst. upon inspection he saw a big metal nail in the tyre and alloy, which caused the damage.",1,,,,,
MOT11964182,auto hit from rare left side,1,,,,,
ECF1894585424a59,"DINAK 25/02/2022 KO MAI APNE NIWAS SE DUKAN JA RAHA THA ,RASTE MAI EK TEMPO SE MERI CAR TAKKRATE HUE PICHE SE DUSARI CAR SE TAKRA GAI,JISSE MERI CAR FRONT SE AUR RH SIDE PICHE SE KSHATIGRAST HO GAI ,IS DURGHATNA MAI NA KISI KO KOI HAANI HUI AUR NA HI KOI REPORT KARWAI GAI.",1,,,,,
MOT11963660,DAMEGE,2,,,,,
MOT11964825,AGAL JATA VAHAN E ACHANAK BRAKE MARTA MARI GADI ATHADAI NE RIGHT SIDE PADTA DAMAGE THAYEL CHHE,1,,,,,
MOT11964484,Hit,2,,,,,
MOT11948389,PED SE TAKKAR SE HO GYI HAI,2,,,,,
MOT11965036,Me apni scooty park karne ja raha tha achanak se ek bada pathar niche takra gaya or oil girne laga mene niche dekha to scooty ka engine tut gaya tha,1,,,,,
MOT11963916,ACHANAK SAME THI BIKE AAVI JATA MARI GADI NE RIGHT SIDE ATHADAI NE LEFT SIDE PADI NE DAMAGE THAYEL CHHE,1,,,,,
MOT11964549,"LIMBAYAT ROAD PER JATA HATA, AGAD ACHANAK RONG MATHI TEMPO AAVTA GADI NI BREAK MARI, TO BALANCE NA RETA GADI SLIP THAI PADEL CHE",2,,,,,
MOT11965030,While driving my bike between the road suddenly a cow came in between and my bike fell on left side and got damaged,1,,,,,
MOT11965058,FRONT WINDSHIELD GLASS HIT BY FLYING STONES,2,,,,,
ECF1788986224d1c,While driving a flying stone hit my front windshield and cracked the front windshield,2,,,,,
MOT11963791,car hit the vehicle from front side,1,,,,,
MOT11965043,Tempo wala ne achanak break Mara or gadi aage se takkar ho gaya,1,,,,,
MOT11965055,While Driving in Anderi One vehicle Damage my car in right side,1,,,,,
MOT11964783,as per claim form,2,,,,,
MOT11965590,They drive on suddenly frant came runway dog dash on scooter frant side thean unbalance to collapse on left side get to damage,1,,,,,
MOT11965670,Samethi activa takkar Thai ne padi gai,1,,,,,
MOT11965636,pheeche se taimpo wale ne motorcycle me takker mara jisse motorcycle aniyantrit ho kr right side gir kr script ho kr band ho gayi aur tut fut gayi,1,,,,,
MOT11965545,Pechhe se bike wale ne takkar mari,1,,,,,
MOT11965676,FRONT DAMAGE,2,,,,,
MOT11965690,AS PER CLAIM FORM,2,,,,,
MOT11965213,DABHI BAJU THI NIKDTA TWO WHEELER VADA E OVERTAKE KARVA JATA NUKSAN THAYU ANE GADI JAMNI BAJU LETA JAMNI BAJU BIJA VAHAN SATHE ATHDATA NUKSAN THAYEL CHE,1,,,,,
MOT11965631,mai office se ghar ja rha tha achanak tahseenganj chaurahe par dahine mudte samay ek motorcycle waale ne samne se takkar maar di aur gaadi dahine gir ke toot gyi,1,,,,,
ECF2357374134b34,AS PER CLAIM FORM.,2,,,,,
MOT11965686,WHILE TRAVELLING FROM GUDUR TO RAPUR NEAR GUDUR RAILWAY STATION ONE AUTO CAME UNCONTROL THE VEHICLE GO AND HIT POLE REAR LEFTSIDE DAMAGED.,1,,,,,
MOT11965653,Biprit dissa s aa Rahi ghari Ko Bachane k chaker m Mera ghari anbalens hoker grikar chaigrist Ho Gaya,1,,,,,
MOT11965133,the car was parked in the parked lot something dropped on vehicles front glass it got damaged,2,,,,,
MOT11950674,While park vehicle hit to front tree at that time bike dash on right side,1,,,,,
MOT11963784,As per claim registration,2,,,,,
ECF22906562044f1,While going office to home back side coming activa hit my car back side so car got unbalanced and front left side also hit with another vehicle,1,,,,,
MOT11962608,VEHICLE HIT BY TOTO,2,,,,,
MOT11963766,As per claim registration,2,,,,,
MOT11963793,HIT BY A BIKE FRONT SIDE AND BIKE FELL DOWN LEFT SIDE AND BIKE DAMAGE,2,,,,,
MOT11963821,Front damage,2,,,,,
MOT11963838,FRONT GOING EECO SPORT APPLIED BRAKES DUE TO MY CAR HIT FROM FRONT SIDE SAME TIME BOLERO HIT FROM BACK.,1,,,,,
ECF22922867448fc,As per intimation letter,2,,,,,
MOT11963730,una ni anadar j gadi laine jatahta tayare rstama side mathi bhud ade padta 			mari gadi side rahel dival sathe bhatkaine padi gayel che,1,,,,,
MOT11963881,FRONT VEHICLE APPLIED BRAKES I COULD NOT CONTROL AND DASHED FRONT SIDE OF MY CAR,1,,,,,
MOT11964665,WHEN I WAS DRIVING SUDDENLY A COW HIT MY CAR FRONT SIDE,1,,,,,
MOT11964644,Gari ka chakka sleep ho gya,1,,,,,
MOT11964681,Mere gadi ko back se truck ne taker mara tabhi meri gadi disblance ho ke same ja rahi magic se tamara gyi jisse gadi damage ho gyi,1,,,,,
MOT11964796,I WAS IN STANDING CONDITION NEAR ABOVE MENTIONED WEAR ONE TANKAR WAS HITED MY CAR ON BACKSIDE AND DRAGGED MY CAR ABOUT 7 TO 8 FT IN FRONT AND HIT WITH AN ANOTHER VEHICLE STANDING IN FRONT OF MY CAR,1,,,,,
MOT11964416,Vehicle damage front side and back side and right side accident with other vehicles due to heavy traffic at road near chikhli bus stand circles,1,,,,,
ECF229238989468c,On highway car run in one big pot hole and left side tyre and alloy got damage.,1,,,,,
MOT11964327,WHILE TRAVELING FROM CHENNAI TO VANDAVASI OPPOSITE ROAD HAS BEEN CLOSED DUE TO CONSTRUCTION ROAD WORK ALL VEHICLES WERE SUPOOSED TO TRAVEL ON SAME ROAD IT WAS FULL TRAFFIC AND I WAS TRYING TO TAKE LEFT SIDE SUDDENLY ONE TOREZ VEHICLE FRONT GUARD HIT MY CAR FRONT RIGHT SIDE OF MY CAR AND IT WAS VERY CRITICAL SITUATION TO AVOID MORE DAMAGES I TOOK LEFT IMMEDIATELY AT THE SAME TIME ONE TATA ACE WHICH WAS VERY CLOSE TO ME AND DASHED MY VEHICLE LEFT SIDE FULLY .,1,,,,,
MOT11964735,Mera driver gaddi leke ja rah tha ki ek dum se gaddi k aage janvar aa gya use bachaane k leeye gaddi modi to gaddi ek bde ghadde me ja lge,1,,,,,
MOT11964755,STONE FALLEN ON CAR BY AN OVERLOADED TRUCK I TOOK LEFT AND HIT BY ANOTHER CAR ON LEFT,1,,,,,
ECF2341039464329,Car was parked in parking on return found that car was hit probably by a bike.,2,,,,,
MOT11965053,Gadi chalate samy achanak samne sand aa gaya jisme meri gadi takrakar gir gai aur kshatigarst ho gai,1,,,,,
ECF2289013224f86,Ratrichya veli Yes gav yethe usane bharlele tellor lakshat n alyane Mazi gadi tya tellor la pathi magun jaun dhadakali,1,,,,,
MOT11964390,AHED MOVING STONE LODED TRUCK SOME STONE COME FROM TRUCK AND HIT MY CAR FRONT BONET AND FRONT GLASS THEN I APPLY BRAKE THEN ONE BIKE HIT MY CAR FROM RIGHT SIDE,1,,,,,
MOT11965056,Hit With Car,2,,,,,
MOT11957453,SAMNE SE ALTO CAR NE HITKIYA,1,,,,,
ECF2234765264c09,RUNING GAADI JATA ACHANAK PATHHAR GLASS AND GADI MA NUKSHAN THAYU CHE,1,,,,,
MOT11928054,As per claim form,2,,,,,
ECF2347002974723,Over load truck crossed right hand side of the driver,1,,,,,
MOT11965088,AS PER CLAIM FORM,2,,,,,
MOT11964346,AAGA CHAL RHI GADI SA EK CHTA SA KHNGKAR AUCHAL KA AAYA JISA HUMRI CAR KA FRONT GLASS DAMAGE HO GYA,1,,,,,
MOT11933264,as per claim form,2,,,,,
MOT11965182,,2,,,,,
MOT11965451,Another vehicle hit from rear left side,1,,,,,
MOT11965700,Khalilabad,2,,,,,
MOT11965601,"CAR WAS PARKED OUTSIDE MY OFFICE , AN AUTO HIT MY CAR FROM RIGHT SIDE",1,,,,,
